,Title,Published_date,Views,Likes,Comments,Month
0,The Truth about Feminism | Is Feminism Destroying Indian Society? | Dhruv Rathee,2024-02-14,3429894,230050,22828,Feb
1,50% of Indians will get this Disease! | The Next Pandemic | Dhruv Rathee,2024-02-09,6628036,286995,15345,Feb
2,Budget 2024 Analysis | What did Middle Class get? | Dhruv Rathee,2024-02-04,4558822,229575,12988,Feb
3,Ram Mandir: The Untold Truth about Ram's Exile | Dhruv Rathee,2024-01-23,10390412,524069,53505,Jan
4,Mystery of Subhas Chandra Bose's Death | Gumnami Baba | Dhruv Rathee,2024-01-20,4880885,176922,11496,Jan
5,Maldives vs Lakshadweep Controversy | Who is Wrong? | Dhruv Rathee,2024-01-12,7701620,309167,18882,Jan
6,"Japan Earthquake, Tsunami and Plane Crash | Why is it happening? | Dhruv Rathee",2024-01-05,7701859,298069,10489,Jan
7,Vivek Bindra vs Sandeep Maheshwari | Who is Wrong? | Dhruv Rathee,2023-12-30,11071412,489432,31387,Dec
8,Netaji Subhas Chandra Bose | From Hitler's Germany to Japan | Full Biography | Dhruv Rathee,2023-12-26,6060848,240182,13222,Dec
9,Real Story of Dunki | How Indians Cross US Mexico Border? | Donkey Process | Dhruv Rathee,2023-12-22,13328040,407408,17596,Dec
10,How Korea became a Cultural Superpower? | Case Study | BTS | Squid Games | Dhruv Rathee,2023-12-16,5743848,217894,16807,Dec
11,ANIMAL | The Worst Movie of 2023? | Dhruv Rathee,2023-12-10,13202919,795254,76306,Dec
12,Sad Reality of Uttarkashi Tunnel Rescue | 3D Animation | Dhruv Rathee,2023-12-06,6473156,274533,11981,Dec
13,Mystery of Q-Star | The AI which threatens Humanity | Open AI | Microsoft | Dhruv Rathee,2023-12-01,5608339,199286,8441,Dec
14,Why is United Nations Failing? | Dark Truth about Weapons Industry | Dhruv Rathee,2023-11-28,5380614,209930,11586,Nov
15,The Bhopal Gas Leak | Who were Railway Men? | Dhruv Rathee,2023-11-26,5332287,218070,7645,Nov
16,How Napoleon Conquered Europe? | Was he a Hero or Villain? | Dhruv Rathee,2023-11-23,5434007,187872,9827,Nov
17,The Secret of Nuclear Submarines | World's Most Extreme Technology | Indian Navy | Dhruv Rathee,2023-11-20,4769850,182283,6073,Nov
18,The Politics of Cricket World Cup | Explained by Dhruv Rathee,2023-11-16,8354501,379479,15924,Nov
19,The Truth about Ramayan | Shri Ram | Diwali Special | Dhruv Rathee,2023-11-10,8709573,495139,62325,Nov
20,The Concordia Cruise Mystery | What Went Wrong? | Titanic of 2012 | Dhruv Rathee,2023-11-06,9502528,338741,11039,Nov
21,Kalpana Chawla | Mystery of NASA Columbia Space Disaster | Dhruv Rathee,2023-10-30,8301650,278057,7672,Oct
22,Why British Left India? | Reality of Mahatma Gandhi's Role | Quit India Movement | Dhruv Rathee,2023-10-26,5398920,239037,14557,Oct
23,How to Lose Weight? | The Complete Scientific Guide | Dhruv Rathee,2023-10-23,8572788,344624,22144,Oct
24,Gaza is in Absolute Crisis! | Israel Palestine War | Dhruv Rathee,2023-10-20,8411940,363409,35335,Oct
25,The Mona Lisa Mystery | Why is it World's Most Famous Painting? | Dhruv Rathee,2023-10-17,9276885,310142,9853,Oct
26,Mystery of Flight 571 | World's Greatest Miracle | Dhruv Rathee,2023-10-12,14786056,626175,18930,Oct
27,Israel Palestine War | What is Happening? |  Explained by Dhruv Rathee,2023-10-10,13947302,536335,69936,Oct
28,Mystery of World's Oldest Human | The Secret of Living 120+ years | Dhruv Rathee,2023-10-05,5845655,235349,14774,Oct
29,Women's Reservation: Good or Bad? | Dhruv Rathee,2023-09-29,3175300,157577,13763,Sep
30,How China Invaded Aksai Chin? | The 1962 War | Dhruv Rathee,2023-09-24,3536332,156050,11845,Sep
31,Dark Reality of Jawan Film | Shah Rukh Khan | Dhruv Rathee,2023-09-20,9917663,655679,39444,Sep
32,Chandrayaan 3 Discovery | Oxygen on Moon! | Dhruv Rathee,2023-09-15,5470090,267002,10997,Sep
33,India vs Bharat | The Origin of a Controversy | Dhruv Rathee,2023-09-13,8130204,693437,98552,Sep
34,The G20 Summit | What is it Exactly? | Dhruv Rathee,2023-09-08,7439692,372555,14296,Sep
35,What was Nehru's Mistake? | India-China 1962 War | Dhruv Rathee,2023-09-05,4902234,200415,11019,Sep
36,Aditya L1 | India's First Sun Mission Launched! | ISRO | Dhruv Rathee,2023-09-02,6534145,319783,10167,Sep
37,Project Cheetah | Is it an Impossible Mission? | Dhruv Rathee,2023-08-30,5133977,207177,10257,Aug
38,India Makes History! | Chandrayaan 3 Lunar Landing | Dhruv Rathee,2023-08-23,11188776,507462,19424,Aug
39,Mystery of Apollo 13 Mission | Lost in Space | Dhruv Rathee,2023-08-19,11170681,397183,10077,Aug
40,Chicken or Egg: What came first? | Are Eggs Veg or Non Veg? | Dhruv Rathee,2023-08-14,6228047,289026,17479,Aug
41,PM Modi’s Role in Manipur | What actually happened? | Dhruv Rathee,2023-08-10,3975650,177138,16112,Aug
42,The Real Story of Manipur | Who is Responsible? | Dhruv Rathee,2023-08-06,6363131,325862,21435,Aug
43,What happened to the Ozone Hole? | Dhruv Rathee,2023-07-31,6161927,266820,12475,Jul
44,The Dark Reality of Bigg Boss | Dhruv Rathee,2023-07-27,12496450,765973,75103,Jul
45,The Real Story of Oppenheimer | Hero or Villain? | Dhruv Rathee,2023-07-23,9095310,347992,14580,Jul
46,What happened to other Human Species? | Evolution of Homo Ancestors | Dhruv Rathee,2023-07-20,5406376,219706,25125,Jul
47,The Truth about Artificial Intelligence and ChatGPT | Dhruv Rathee,2023-07-16,8550463,386978,26387,Jul
48,What went Wrong with Adipurush? | The Indian Film Industry Formula | Dhruv Rathee,2023-07-07,8448753,377481,29921,Jul
49,How Online Betting & Fantasy Apps Fool You! | Business Model | Dhruv Rathee,2023-07-02,5061175,269241,19157,Jul
50,Mystery of Titan Submarine | What Actually Happened? | Dhruv Rathee,2023-06-29,10520592,498579,16344,Jun
51,How China became a Superpower? | Case Study | Dhruv Rathee,2023-06-23,7022830,223612,14863,Jun
52,Interstellar Time Travel Explained | How Wormholes Work? | Dhruv Rathee,2023-06-21,6569076,272418,13770,Jun
53,Saudi Arabia’s $1 Trillion Plan | Is it Really Possible? | Dhruv Rathee,2023-06-14,7696837,244745,14496,Jun
54,Reality of Quran and Bible | Abrahamic Religions Explained | Dhruv Rathee,2023-06-09,11884094,542189,124065,Jun
55,The No.1 Problem that is Destroying Indian Cities | Dhruv Rathee,2023-06-06,4497776,229342,23745,Jun
56,"Does God Exist? | Hinduism, Religion and Spirituality with Acharya Prashant x Dhruv Rathee",2023-05-31,6419789,283545,53446,May
57,My Reply to Kerala Story Controversy | Elvish Yadav | Dhruv Rathee,2023-05-26,12876577,1171026,237452,May
58,Reality of Wrestlers Protest | Why Modi Govt is Saving Brij Bhushan? | Dhruv Rathee,2023-05-22,5655394,334651,24834,May
