,Title,Published_date,Views,Likes,Comments,Month
0,Nuclear fusion | Nuclear chemistry | High school chemistry | Khan Academy,2024-02-16,4557,140,8,Feb
1,Half-life | Nuclear chemistry | High school chemistry | Khan Academy,2024-02-09,11018,180,17,Feb
2,Gamma decay | Nuclear chemistry | High school chemistry | Khan Academy,2024-02-03,9623,172,11,Feb
3,AI for ELA with Khan Academy,2024-01-29,8726,107,21,Jan
4,Beta decay | Nuclear chemistry | High school chemistry | Khan Academy,2024-01-26,7357,142,8,Jan
5,Meaning of the reciprocal,2024-01-26,6443,149,11,Jan
6,Interpreting unequal ratios,2024-01-26,2545,33,6,Jan
7,Simplify a ratio from a tape diagram,2024-01-26,2616,35,3,Jan
8,Maintain | Vocabulary | Khan Academy,2024-01-23,4250,65,3,Jan
9,Sanctuary | Vocabulary | Khan Academy,2024-01-23,2353,42,4,Jan
10,Encounter | Vocabulary | Khan Academy,2024-01-23,1282,43,3,Jan
11,Debris | Vocabulary | Khan Academy,2024-01-23,1164,20,0,Jan
12,Ecosystem | Vocabulary | Khan Academy,2024-01-23,830,19,0,Jan
13,Crisis | Vocabulary | Khan Academy,2024-01-23,813,24,1,Jan
14,Develop | Vocabulary | Khan Academy,2024-01-23,891,14,0,Jan
15,Conserve | Vocabulary | Khan Academy,2024-01-23,1041,39,2,Jan
16,Innovative | Vocabulary | Khan Academy,2024-01-23,696,15,0,Jan
17,Contaminate | Vocabulary | Khan Academy,2024-01-23,638,10,0,Jan
18,Resource | Vocabulary | Khan Academy,2024-01-23,1192,43,0,Jan
19,Significant | Vocabulary | Khan Academy,2024-01-23,1072,23,0,Jan
20,A chat with MLK on #MLKDay,2024-01-17,5568,128,2,Jan
21,Alpha decay | Nuclear chemistry | High school chemistry | Khan Academy,2024-01-16,11286,237,15,Jan
22,Intro to radioactive decay | Nuclear chemistry | High school chemistry | Khan Academy,2024-01-12,11183,185,13,Jan
23,The Learners Fund - The Khan Academy story,2023-12-26,16566,421,46,Dec
24,Common Fuel Types and Uses | AP Environmental Science | Khan Academy,2023-12-19,9579,177,43,Dec
25,Renewable and Nonrenewable Energy Resources | AP Environmental Science | Khan Academy,2023-12-19,5457,72,9,Dec
26,Comparing rates example,2023-12-19,4158,52,5,Dec
27,Alienated | Vocabulary | Khan Academy,2023-12-18,5108,65,7,Dec
28,Exclude | Vocabulary | Khan Academy,2023-12-18,2087,27,1,Dec
29,Anxious | Vocabulary | Khan Academy,2023-12-18,2154,30,2,Dec
30,Recognition | Vocabulary | Khan Academy,2023-12-18,1606,27,2,Dec
31,Advantage | Vocabulary | Khan Academy,2023-12-18,1390,17,0,Dec
32,Strategic | Vocabulary | Khan Academy,2023-12-18,1261,20,2,Dec
33,Effective | Vocabulary | Khan Academy,2023-12-18,974,15,0,Dec
34,Interwoven | Vocabulary | Khan Academy,2023-12-18,1117,12,2,Dec
35,Heritage | Vocabulary | Khan Academy,2023-12-18,1013,18,0,Dec
36,Esteem | Vocabulary | Khan Academy,2023-12-18,1005,16,0,Dec
37,Perceive | Vocabulary | Khan Academy,2023-12-18,824,9,0,Dec
38,Collective | Vocabulary | Khan Academy,2023-12-18,918,10,0,Dec
39,Incident | Vocabulary | Khan Academy,2023-12-18,1243,22,1,Dec
40,Enforce | Vocabulary | Khan Academy,2023-12-18,734,12,0,Dec
41,Impose | Vocabulary | Khan Academy,2023-12-18,864,13,2,Dec
42,Resistance | Vocabulary | Khan Academy,2023-12-18,802,12,0,Dec
43,Contentious | Vocabulary | Khan Academy,2023-12-18,906,20,3,Dec
44,Rebellion | Vocabulary | Khan Academy,2023-12-18,684,14,0,Dec
45,Eliminate | Vocabulary | Khan Academy,2023-12-18,834,10,1,Dec
46,Defiant | Vocabulary | Khan Academy,2023-12-18,846,15,0,Dec
47,Invalid | Vocabulary | Khan Academy,2023-12-18,991,15,2,Dec
48,Policy | Vocabulary | Khan Academy,2023-12-18,2102,70,5,Dec
49,Align | Vocabulary | Khan Academy,2023-12-18,1937,46,3,Dec
50,Regulate | Vocabulary | Khan Academy,2023-12-18,3736,84,4,Dec
51,Le Châtelier's principle | Reaction rates and equilibrium | High school chemistry | Khan Academy,2023-12-15,5068,47,2,Dec
52,Reversible reactions and equilibrium | High school chemistry | Khan Academy,2023-12-15,2562,55,3,Dec
53,Catalysts | Reaction rates and equilibrium | High school chemistry | Khan Academy,2023-12-15,1652,36,4,Dec
54,Try this AI for college admissions! #collegeapplications,2023-12-15,9246,290,0,Dec
55,Electronegativity and bond type | States of matter | High school chemistry | Khan Academy,2023-12-14,3707,32,1,Dec
56,London dispersion forces introduction | States of matter | High school chemistry | Khan Academy,2023-12-14,1385,23,2,Dec
57,Endothermic and exothermic reactions | Chemical reactions | High school chemistry | Khan Academy,2023-12-14,1374,29,1,Dec
58,Physical and chemical changes | Chemical reactions | High school chemistry | Khan Academy,2023-12-14,2076,62,3,Dec
59,The Case of the Early Bird | Teacher Resources | Financial Literacy | Khan Academy,2023-12-14,1240,23,2,Dec
60,A Taxing Time | Teacher Resources | Financial Literacy | Khan Academy,2023-12-14,858,14,0,Dec
61,A Tale of Two Credit Scores | Teacher Resources | Financial Literacy | Khan Academy,2023-12-14,1226,32,0,Dec
62,Ionization energy trends | Periodic trends | High school chemistry | Khan Academy,2023-12-14,4866,36,3,Dec
63,Atomic radii trends | Periodic trends | High school chemistry | Khan Academy,2023-12-14,1246,26,0,Dec
64,Lewis diagrams | The periodic table and Lewis diagrams | High school chemistry | Khan Academy,2023-12-14,1326,28,4,Dec
65,Atomic spectra | The Bohr model and atomic spectra | High school chemistry | Khan Academy,2023-12-14,3476,59,4,Dec
66,The mole and Avogadro's number | Moles and molar mass | High school chemistry | Khan Academy,2023-12-13,2546,46,10,Dec
67,Worked example: calculating ion charge | Isotopes and ions | High school chemistry | Khan Academy,2023-12-13,1283,34,4,Dec
68,Worked example: using the mass number equation | High school chemistry | Khan Academy,2023-12-13,1042,22,1,Dec
69,Isotopes | Isotopes and ions | High school chemistry | Khan Academy,2023-12-13,2463,105,8,Dec
70,Elements and atomic number | Atomic structure | High school chemistry | Khan Academy,2023-12-13,1921,63,3,Dec
71,"Protons, neutrons, and electrons in atoms | Atomic structure | High school chemistry | Khan Academy",2023-12-13,2680,64,5,Dec
72,Setting AI Policies for your School Districts: Part 2 of 2,2023-12-12,3078,46,8,Dec
73,7 Principles for AI in Education: Part 1 of 2,2023-12-12,6808,94,8,Dec
74,Khan Academy's Official Digital SAT Prep Webinar,2023-12-01,15434,107,7,Dec
75,Lesson Planning with Khanmigo Webinar,2023-11-30,11755,89,4,Nov
76,"Parents, learn how to boost writing skills with Khanmigo",2023-11-29,7002,104,6,Nov
77,Boost writing skills with Khan Academy's new essay feedback feature,2023-11-29,6043,172,0,Nov
78,Help Khan Academy this giving season,2023-11-21,25594,283,16,Nov
79,Khanmigo Teacher Story - Ms. Bartsch,2023-11-21,4341,67,7,Nov
80,Irregular plural nouns | -f to -ves | The parts of speech | Grammar | Khan Academy,2023-11-10,10254,170,0,Nov
81,Khanmigo: Co-create a Rubric Activity,2023-11-10,4161,41,3,Nov
82,Khanmigo: Class Snapshot Activity,2023-11-09,4217,41,0,Nov
83,AMA with Sal Khan on AI + Education,2023-11-09,5544,107,13,Nov
