,Title,Published_date,Views,Likes,Comments,Month
0,Inca Island in the Sky (Full Episode) | Lost Cities with Albert Lin,2024-02-17,5128,522,22,Feb
1,Dr. Martin Luther King Jr.'s Sermon | Genius: MLK/X | National Geographic,2024-02-16,8057,360,19,Feb
2,Paid content for @Prada. Facing the invasive Atlantic blue crab,2024-02-15,15995,619,17,Feb
3,Lost Nukes of the Cold War (Full Episode) | Drain the Oceans,2024-02-15,68986,1314,57,Feb
4,The Meeting of Two Minds | Genius: MLK/X | National Geographic,2024-02-13,20017,439,29,Feb
5,How would you react if your vacation was cut short for this? 🗼 #BestoftheWorld #NatGeo,2024-02-13,15885,420,2,Feb
6,Space Invaders: Solving the Invasive Species Explosion | National Geographic,2024-02-12,43635,863,37,Feb
7,5 lessons from an omakase sushi chef 🍣 #BestoftheWorld #NatGeo,2024-02-12,14607,455,6,Feb
8,Uncovering the Secrets of the International Space Station (Full Episode) | Superstructures,2024-02-11,359706,4786,315,Feb
9,How do chefs react when other chefs try their food? 👨‍🍳 #BestoftheWorld #shorts,2024-02-11,18524,622,6,Feb
10,Romance Scams (Full Episode) | Trafficked with Mariana van Zeller,2024-02-10,182225,2751,445,Feb
11,Are you this neat when you meal prep?? #BestoftheWorld #NatGeo Check out the full episode!,2024-02-10,29079,648,5,Feb
12,Paid content for @ExploreCanada. Experiencing the season of bounty. #Canada,2024-02-09,18371,536,5,Feb
13,"""Umi"" an Original Song by Alewya for #NatGeoQueens",2024-02-09,14009,710,12,Feb
14,How to properly butcher a fish from a world-class Japanese sushi chef 🔪 #BestoftheWorld,2024-02-09,13980,386,4,Feb
15,"The beautiful art of sushi making at Udatsu Sushi in Tokyo, Japan 🐟 #BestoftheWorld #NatGeo",2024-02-08,17734,627,7,Feb
16,Photographer | Official Trailer | National Geographic,2024-02-08,131392,5526,124,Feb
17,LA Mega Stadium: Building Impossible with Daniel Ashville (Full Episode) | National Geographic,2024-02-08,6342,162,11,Feb
18,Secrets of the Octopus | Official Trailer | National Geographic,2024-02-08,48476,1471,79,Feb
19,Super Nanny Ant | National Geographic #Shorts,2024-02-07,18253,944,11,Feb
20,QUEENS | Official Trailer | National Geographic,2024-02-07,1495843,1338,76,Feb
21,See how this sushi merges tradition & evolution in Episode 1 of #BestoftheWorld 🍣 #shorts,2024-02-06,12146,343,5,Feb
22,Paid content for @Prada. Indigenous lessons in the Arctic #nature,2024-02-05,14164,717,10,Feb
23,Who doesn’t love a sweet surprise during their omakase experience? 🍤 #BestoftheWorld #NatGeo,2024-02-05,20186,528,7,Feb
24,A Tokyo sushi experience so rare the host couldn’t even explain it 😶 #BestoftheWorld #NatGeo,2024-02-04,23183,639,4,Feb
25,Visiting Historic Green Book Locations (Full Episode) | Black Travel Across America,2024-02-04,22595,559,23,Feb
26,Mariana van Zeller Sits Down with Marvel's Echo Star Alaqua Cox | National Geographic,2024-02-03,46103,437,32,Feb
27,Before Free Solo (Full Episode) | Edge of the Unknown with Jimmy Chin,2024-02-03,240893,5160,171,Feb
28,This sushi dish blew Lucas’s mind AND purified his soul 🤯 Check it out in Ep 1! #BestoftheWorld,2024-02-03,18682,734,11,Feb
29,Natural Custodians: Indigenous Lessons in Reconnecting with Nature | National Geographic,2024-02-02,30670,929,45,Feb
30,Who doesn't love a scavenger hunt?🔍 Full episode now up! #BestoftheWorld #NatGeo,2024-02-02,13839,424,4,Feb
31,The Power of Us | The Story of Us with Morgan Freeman (Full Episode),2024-02-01,397427,5832,270,Feb
32,Forget an alarm clock—from now on we only want to wake up to a rice alarm🍚 #BestoftheWorld,2024-01-31,18090,670,3,Jan
33,Nat Geo's #BestOfTheWorld guide is out now! #shorts,2024-01-30,16215,601,2,Jan
34,Experience Tokyo’s Ultimate Omakase Sushi with Lucas Sin | Nat Geo’s Best of the World,2024-01-30,407577,9758,328,Jan
35,The Space Race | Official Trailer | National Geographic,2024-01-29,29545,644,38,Jan
36,Surviving the Grasslands (Full Episode) | Hostile Planet,2024-01-28,293941,2939,133,Jan
37,"Guac, Coke, and Human Smuggling (Full Episode) | To Catch a Smuggler",2024-01-27,792816,4248,307,Jan
38,Watch as a swarm of army ants devour their prey | Jungle Predators | A Real Bug's Life,2024-01-26,51621,1000,70,Jan
39,Leafcutter Ant Traffic Jam | National Geographic #Shorts,2024-01-26,20966,1100,16,Jan
40,Paid content for @Prada. Protecting our marine biodiversity in Raja Ampat #reefs #marinelife,2024-01-26,15341,756,7,Jan
41,Queen Bee Escapes Chicken Coop | National Geographic #Shorts,2024-01-25,33980,1497,28,Jan
42,Behind the Scenes of Incredible Animal Journeys (Full Episodes) | National Geographic,2024-01-25,16812,434,17,Jan
43,Raja Ampat: The Last Stronghold of Healthy Coral Reefs | National Geographic,2024-01-23,140910,2886,131,Jan
44,Behind the scenes: Flying a drone like albatross | Incredible Animal Journeys | National Geographic,2024-01-22,29852,690,19,Jan
45,Uncovering the Secrets of New York City (Full Episode) | Drain the Oceans,2024-01-21,1030618,11409,316,Jan
46,Petra's Hidden Origins | Lost Cities with Albert Lin (Full Episode),2024-01-20,390675,5873,231,Jan
47,Paid content for Travel Alaska. Follow Indigenous photographer Brian Adams on assignment in Juneau.,2024-01-19,24752,932,15,Jan
48,The Fight for Peace (Full Episode) | The Story of Us,2024-01-18,55455,1932,86,Jan
49,Experiencing the Rich History and Food of Canada's Season of Bounty | National Geographic,2024-01-18,40063,549,23,Jan
50,Explorer Albert Lin explores a cave burial site filled with ancient carvings #shorts,2024-01-17,22865,720,5,Jan
51,Explorer Albert Lin explores a cave burial site filled with ancient carvings,2024-01-17,49266,886,31,Jan
52,Arctic Ascent with Alex Honnold | Official Trailer | National Geographic,2024-01-16,542917,6839,273,Jan
53,Monarch Migration and Metamorphosis | Incredible Animal Journeys | National Geographic,2024-01-16,61772,1164,55,Jan
54,Developing tech to monitor life-threatening infections #shorts,2024-01-15,18202,764,12,Jan
55,Investigating Black Market Surgery (Full Episode) | Trafficked with Mariana Van Zeller,2024-01-14,96963,2384,140,Jan
56,Polar (Full Episode) | Hostile Planet | National Geographic,2024-01-13,270716,3270,106,Jan
57,Explorer Albert Lin descends into an epic underground cavern #shorts,2024-01-12,27631,1204,31,Jan
58,Explorer Albert Lin descends into an epic underground cavern,2024-01-12,75850,1390,63,Jan
59,Genius: MLK/X | Official Trailer | National Geographic,2024-01-11,2880081,3626,459,Jan
60,Let the Science Fair Begin (Full Episode) | Science Fair: The Series,2024-01-11,7336,156,7,Jan
61,Albert Lin climbs up a treacherous waterfall in search of ancient tombs #shorts,2024-01-10,23203,665,12,Jan
62,"🔴 LIVE: Scams, Cocaine, and Counterfeiting: Trafficked with Mariana van Zeller | S1 FULL EPISODES",2024-01-10,446351,4939,0,Jan
63,Albert Lin climbs up a treacherous waterfall in search of ancient tombs,2024-01-10,39431,741,39,Jan
64,Watchers of the Land | Short Film Showcase | National Geographic,2024-01-09,25071,743,29,Jan
65,Working to improve electric vehicles #shorts,2024-01-08,27127,1031,21,Jan
