,Title,Published_date,Views,Likes,Comments,Month
0,Why can't you put metal in a microwave? - Aaron Slepkov,2024-02-15,230189,10727,301,Feb
1,The Fijian myth of the greedy god - Raiana McKinney and Esther Wozniak,2024-02-13,100970,5255,156,Feb
2,Is Chandigarh a perfectly planned city? - Vikramāditya Prakāsh,2024-02-08,319211,14364,551,Feb
3,Why does this flower smell like a dead body? - Daniel Nickrent,2024-02-06,201746,7548,288,Feb
4,How does alcohol cause blackouts? - Shannon Odell,2024-02-01,647761,16375,479,Feb
5,The real reason dodo birds went extinct - Leon Claessens,2024-01-30,303833,12640,415,Jan
6,Would you raise the baby that ate your siblings? - Francesca Barbero,2024-01-25,295843,10943,347,Jan
7,How to know if you're being selfish (and whether or not that's bad) - Mark Hopwood,2024-01-23,318330,11454,331,Jan
8,"History vs. Egypt’s ""most powerful"" pharaoh - Jessica Tomkins",2024-01-18,326800,10122,630,Jan
9,How much would it cost to buy the ocean? - Astrid J. Hsu,2024-01-16,383253,17290,419,Jan
10,Why is rice so popular? - Carolyn Beans,2024-01-11,431918,16241,693,Jan
11,The secret sex lives of pandas - Lucy Cooke,2024-01-09,215960,9210,282,Jan
12,"The history of poker: Bluffing, betting, and busting - James McManus",2024-01-04,355651,12368,216,Jan
13,How to get motivated even when you don’t feel like it,2024-01-02,728466,33319,478,Jan
14,The science of laughter - Sasha Winkler,2023-12-21,511516,18385,443,Dec
15,Does planting trees actually cool the planet? - Carolyn Beans,2023-12-19,305071,12156,372,Dec
16,What the biggest brain on Earth can do - David Gruber and Shane Gero,2023-12-14,221129,9107,192,Dec
17,The largest river on Earth is actually in the sky - Iseult Gillespie,2023-12-12,610951,17717,323,Dec
18,The rights you might not realize you have - Shannon Odell,2023-12-07,424718,8009,397,Dec
19,"How did South African Apartheid happen, and how did it finally end? - Thula Simpson",2023-12-05,272045,11590,1541,Dec
20,How to make smart decisions more easily,2023-11-30,798795,34935,471,Nov
21,The diseases that changed humanity forever - Dan Kwartler,2023-11-28,379389,10665,232,Nov
22,What killed all the bison? - Andrew C. Isenberg,2023-11-21,261120,10869,591,Nov
23,Something weird is happening in our galaxy - Ashkbiz Danehkar,2023-11-20,255237,8953,297,Nov
24,The gory history of barber surgeons - Stephanie Honchell Smith,2023-11-16,410725,15443,311,Nov
25,The most devastating asteroid to hit Earth - Sean P. S. Gulick,2023-11-14,205506,10044,382,Nov
26,Can you solve a mystery before Sherlock Holmes? - Alex Rosenthal,2023-11-09,397750,12655,347,Nov
27,Can you solve the secret assassin society riddle? - Alex Rosenthal,2023-11-07,543737,18034,934,Nov
28,What really caused the Irish Potato Famine - Stephanie Honchell Smith,2023-11-02,397844,14898,659,Nov
29,Japan's scariest ghost story - Kit Brooks,2023-10-31,311792,12633,299,Oct
30,The dark history of werewolves - Craig Thomson,2023-10-26,321599,13295,313,Oct
31,A tour of the ancient Greek Underworld - Iseult Gillespie,2023-10-24,511267,17789,420,Oct
32,How to overcome your mistakes,2023-10-19,764474,33414,389,Oct
33,Confused about recycling? It’s not your fault - Shannon Odell,2023-10-17,245174,10863,442,Oct
34,3 tips on how to study effectively,2023-10-12,2317461,107054,1146,Oct
35,How you survive the coldest place on Earth - Nadia Frontier,2023-10-10,177852,6952,125,Oct
36,"Changing the future, one student voice at a time #shorts",2023-10-06,85845,2807,21,Oct
37,What would happen if everyone stopped eating meat tomorrow? - Carolyn Beans,2023-10-05,537985,19294,2397,Oct
